AppName,CPU,Memory,SubscriptionId,AppId,AppEnvironmentId,FileName
cloud-agent-web,1,2Gi,b3388cda-4303-410e-822c-5a871feb896b,/subscriptions/b3388cda-4303-410e-822c-5a871feb896b/resourceGroups/flow-cloudsbx-rg/providers/Microsoft.App/containerapps/cloud-agent-web,/subscriptions/b3388cda-4303-410e-822c-5a871feb896b/resourceGroups/flow-cloudsbx-rg/providers/Microsoft.App/managedEnvironments/env,/tmp/azure/containerapps/b3388cda-4303-410e-822c-5a871feb896b.json
auth-engine-api,1,2Gi,b3388cda-4303-410e-822c-5a871feb896b,/subscriptions/b3388cda-4303-410e-822c-5a871feb896b/resourceGroups/flow-cloudsbx-rg/providers/Microsoft.App/containerapps/auth-engine-api,/subscriptions/b3388cda-4303-410e-822c-5a871feb896b/resourceGroups/flow-cloudsbx-rg/providers/Microsoft.App/managedEnvironments/env,/tmp/azure/containerapps/b3388cda-4303-410e-822c-5a871feb896b.json
credentials-manager-api,1,2Gi,b3388cda-4303-410e-822c-5a871feb896b,/subscriptions/b3388cda-4303-410e-822c-5a871feb896b/resourceGroups/flow-cloudsbx-rg/providers/Microsoft.App/containerapps/credentials-manager-api,/subscriptions/b3388cda-4303-410e-822c-5a871feb896b/resourceGroups/flow-cloudsbx-rg/providers/Microsoft.App/managedEnvironments/env,/tmp/azure/containerapps/b3388cda-4303-410e-822c-5a871feb896b.json
